Country,Human Development Index (value),Expected Years of Schooling (years),Mean Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Life Expectancy at Birth (years),Cluster
Afghanistan,0.401030303030303,7.605363636363636,1.6995454545454545,1793.8888181818181,57.62590909090909,4
Albania,0.7211515151515152,12.837424242424243,8.994,8727.487,76.45857575757576,1
Algeria,0.6823030303030303,12.74460606060606,6.620636363636364,9821.158666666668,72.16333333333333,1
Andorra,0.5925454545454545,11.100939393939395,7.377545454545455,50812.17987878788,81.6069090909091,3
Angola,0.3716666666666667,7.697757575757575,3.1560606060606062,5309.380727272728,52.61781818181818,2
Antigua and Barbuda,0.39639393939393935,7.532121212121212,7.115545454545455,17489.98690909091,76.03709090909092,0
Argentina,0.8030606060606061,16.092181818181817,9.855121212121212,19590.66124242424,74.86951515151515,1
Armenia,0.7050000000000001,11.839333333333332,10.782848484848484,8098.130333333333,71.82660606060605,1
Australia,0.9106060606060606,20.876484848484846,11.812848484848486,40456.3763939394,80.8600909090909,3
Austria,0.8840909090909091,15.493060606060606,11.424242424242424,48345.427818181815,79.38151515151516,3
Azerbaijan,0.593030303030303,12.271454545454546,8.848363636363636,8943.029212121211,67.29169696969697,1
Bahamas,0.7915757575757576,11.57639393939394,11.500636363636364,33519.34884848485,72.14666666666668,1
Bahrain,0.801969696969697,13.358030303030302,8.20809090909091,44125.340151515156,76.88612121212122,3
Bangladesh,0.5313030303030304,8.697424242424242,4.957303030303031,3409.021787878788,66.25572727272727,0
Barbados,0.7744242424242425,15.01869696969697,9.362848484848485,14514.20390909091,75.12936363636365,1
Belarus,0.646969696969697,13.995121212121212,9.46378787878788,12864.384333333333,70.87421212121212,1
Belgium,0.895909090909091,18.31687878787879,11.06660606060606,45684.22784848485,79.11827272727274,3
Belize,0.6807272727272727,12.230424242424242,8.034666666666666,8189.388181818182,70.95963636363636,1
Benin,0.4466060606060606,8.69669696969697,2.396848484848485,2584.5092121212124,57.40533333333333,4
Bhutan,0.24996969696969698,9.822666666666667,1.5374545454545456,6195.571484848485,65.50045454545455,4
Bolivia (Plurinational State of),0.642060606060606,13.89130303030303,7.681727272727273,6021.888636363637,63.594727272727276,1
Bosnia and Herzegovina,0.5053939393939394,8.942848484848486,5.5772121212121215,8648.542303030303,73.7390909090909,0
Botswana,0.6297878787878787,11.36460606060606,8.366969696969697,11929.887151515151,58.10363636363637,5
Brazil,0.6996666666666667,14.032969696969696,6.182545454545455,12663.603666666666,71.33569696969697,1
Brunei Darussalam,0.8081515151515152,12.997181818181817,8.537272727272727,67609.95648484849,74.09124242424242,3
Bulgaria,0.7599393939393939,13.623121212121212,9.97160606060606,16177.294515151516,72.7179696969697,1
Burkina Faso,0.27169696969696966,5.380242424242424,1.0936666666666668,1495.9703030303028,54.227,2
Burundi,0.3548787878787879,7.567575757575757,2.2341515151515154,849.8967272727273,52.99212121212121,2
Cabo Verde,0.4476969696969697,8.236242424242423,3.9833030303030306,5302.538151515151,71.14296969696969,4
Cambodia,0.4966363636363636,9.851303030303031,3.7182424242424243,2333.976212121212,63.7639696969697,4
Cameroon,0.48966666666666664,9.791060606060606,4.188272727272727,3165.098181818182,56.17727272727272,5
Canada,0.9025757575757576,15.939606060606058,12.859151515151515,41828.572424242426,80.24503030303029,3
Central African Republic,0.3434848484848485,5.661121212121213,3.0148484848484847,1062.0500606060607,49.24975757575758,2
Chad,0.25057575757575756,5.85430303030303,1.2802727272727275,1288.473606060606,49.11387878787879,2
Chile,0.7921212121212121,14.425545454545455,9.682787878787877,17855.654696969697,77.49157575757575,1
China,0.6474545454545454,11.734030303030304,6.365818181818182,7605.402848484849,73.88657575757576,0
Colombia,0.7031212121212121,12.90990909090909,7.36860606060606,11014.268484848484,72.99757575757576,1
Comoros,0.36903030303030304,9.916272727272728,3.1427272727272726,2964.947121212121,60.317454545454545,4
Congo,0.5556969696969697,10.354939393939395,7.426575757575757,3764.899363636364,58.34290909090909,5
Congo (Democratic Republic of the),0.4119090909090909,7.880999999999999,5.543515151515152,913.4194545454545,54.41463636363636,5
Costa Rica,0.7438787878787879,12.84360606060606,7.807242424242425,14690.260242424241,78.05233333333332,1
Croatia,0.6876666666666666,13.59681818181818,10.171818181818182,19863.199787878788,75.70487878787878,1
Cuba,0.7292121212121212,13.883818181818182,10.367242424242425,6019.3000606060605,76.455,1
Cyprus,0.8297878787878787,13.431121212121212,10.711787878787877,33312.34609090909,78.23554545454546,3
Czechia,0.8386666666666667,14.925848484848485,11.583939393939394,29156.43696969697,76.14372727272728,3
Côte d'Ivoire,0.469939393939394,7.460969696969697,5.218818181818182,3238.0558787878786,54.15436363636364,5
Denmark,0.9038484848484849,16.969575757575758,12.455424242424243,50038.35721212121,78.31854545454546,3
Djibouti,0.34939393939393937,4.797424242424242,2.295848484848485,2771.5120303030303,58.906333333333336,2
Dominica,0.5076363636363636,9.885454545454547,5.9268484848484855,10959.113424242425,71.34612121212122,0
Dominican Republic,0.6814242424242424,12.225363636363637,7.122575757575758,11062.819121212122,70.9129393939394,1
Ecuador,0.7128787878787879,13.599515151515151,7.783030303030302,9486.758363636363,73.93339393939394,1
Egypt,0.6515151515151515,11.069151515151514,7.24839393939394,8922.05287878788,68.63854545454546,0
