Country,RMSE,MAE,MAPE,R²,AIC,BIC
Afghanistan,0.027029911558090373,0.019892688963444014,4.203652407021813,-6.9982550989882135,-172.0754979589198,-168.41887048431522
Albania,0.012601240508957294,0.010068731026774065,1.2777177119122118,-3.7213421455489772,-172.53947783964585,-168.88285036504126
Algeria,0.01288040342641118,0.010854442131341837,1.4710639048968979,-7.933334976844092,-225.71450944595406,-222.05788197134947
Andorra,0.011700557978895217,0.008764997047115768,1.0127282673247533,-0.049147606170929725,-13.727933160452185,-10.071305685847584
Angola,0.05965494797681227,0.051730059376800135,8.719631343544245,-430.626059623001,-53.38692538538556,-49.73029791078096
Antigua and Barbuda,0.007476752205267062,0.006300399190776121,0.761982610656855,-2.4498606466112376,-13.688273459306437,-10.031645984701836
Argentina,0.016757481474146036,0.014169399473052529,1.6740190986179693,-14.154015509318294,-209.42392114276447,-205.76729366815988
Armenia,0.007327027577842075,0.005131726937221811,0.6615813324493282,-0.15680796974338262,-160.55401674823045,-156.89738927362586
Australia,0.010089732880592117,0.008887601823255145,0.9403507363679855,-3.4066543908864464,-213.54057917616208,-209.8839517015575
Austria,0.0022339323360470857,0.0018611753493386221,0.20235357457702655,0.7039561375062928,-223.25811232334266,-219.60148484873807
Azerbaijan,0.013407895075460767,0.01027859082566675,1.3889933133701011,-0.016948841765605405,-28.96626265861758,-25.30963518401298
Bahamas,0.007715388799076248,0.006997521617906518,0.8655840413512292,-0.007890114624973688,-210.70324392712462,-207.04661645252003
Bahrain,0.01656364014986733,0.014743085325391989,1.672839265271459,-1.9728780574304574,-178.2570711594174,-174.6004436848128
Bangladesh,0.005936943368609676,0.0049502485914115135,0.756725933582132,0.9079852140894066,-181.66968518505516,-178.01305771045057
Barbados,0.00249766507501948,0.0017999134132893335,0.2240741546976404,-0.06880493189381331,-226.82885638452996,-223.17222890992537
Belarus,0.01656400864786639,0.013690193590587938,1.7047293912227595,-10.203293951535843,-23.24745652154674,-19.59082904694214
Belgium,0.007090830529442808,0.006018273550015004,0.642471322279803,-1.2155701459232633,-207.2882930024478,-203.6316655278432
Belize,0.006697437345035116,0.006354706143555473,0.8953096144738939,0.36365730094300064,-194.90085118883096,-191.24422371422637
Benin,0.020082151802370867,0.01824758757809697,3.6228188245743365,-78.04539291863948,-232.77213057874764,-229.11550310414304
Bhutan,0.029491826824955974,0.02666222311242488,3.981350215371883,-2.216499971636707,-30.58181355863711,-26.925186084032507
Bolivia (Plurinational State of),0.011645643180788355,0.011293316793497004,1.6061155869292367,-0.7074586972296664,-200.16004306956063,-196.50341559495604
Bosnia and Herzegovina,0.009278369823833215,0.008995196602098545,1.1605122758707354,-3.575183495448063,-24.58021577049994,-20.92358829589534
Botswana,0.022978794503544085,0.017359097970495237,2.5007105162616265,-6.350347967320869,-187.93676113298125,-184.28013365837666
Brazil,0.005942175328828109,0.004570031474125491,0.6028242165083453,-2.035373568926554,-201.51804989189696,-197.86142241729237
